,Page,Hex,Register Name
0,0,00,System_CTRL
1,0,01,Software_reset
2,0,02,Interrupt_management
3,0,03,Interrupt_status_register_1
4,0,04,Interrupt_mask_register_1
5,0,05,Interrupt_status_register_2
6,0,06,Interrupt_mask_register_2
7,0,07,0
8,0,08,0
9,0,09,0
10,0,0A,Status_register_1
11,0,0B,Status_register_2
12,0,0C,Status_register_3
13,0,0D,Status_register_4
14,0,0E,Status_register_5
15,0,0F,Status_register_6
16,0,10,Enables_settings_1
17,0,11,Input_selection
18,0,12,SEQ_settings_1
19,0,13,SEQ_settings_2
20,0,14,SEQ_settings_3
21,0,15,SEQ_settings_4
22,0,16,SEQ_settings_5
23,0,17,SEQ_status_register
24,0,18,0
25,0,19,Enables_settings_1
26,0,1A,NG_setting
27,0,1B,AUTO_mode_setting
28,0,1C,SEQ_low_power_mode
29,0,1D,PDM_low_freq_reg
30,0,1E,0
31,0,1F,0
32,0,20,ANA_SPARE_Register
33,0,21,0
34,0,22,0
35,0,23,0
36,0,24,0
37,0,25,0
38,0,26,0
39,0,27,0
40,0,28,0
41,0,29,0
42,0,2A,0
43,0,2B,0
44,0,2C,0
45,0,2D,0
46,0,2E,0
47,0,2F,0
48,0,30,TDM_apply_configuration
49,0,31,TDM_settings_1
50,0,32,TDM_settings_2
51,0,33,TDM_settings_3
52,0,34,0
53,0,35,TDM_settings_4
54,0,36,0
55,0,37,0
56,0,38,0
57,0,39,Clock_monitor_settings_1
58,0,3A,Clock_monitor_settings_2
59,0,3B,TIF_register
60,0,3C,0
61,0,3D,0
62,0,3E,0
63,0,3F,TIF_Spare_Register
64,0,40,0
65,0,41,0
66,0,42,0
67,0,43,0
68,0,44,0
69,0,45,0
70,0,46,0
71,0,47,0
72,0,48,0
73,0,49,0
74,0,4A,0
75,0,4B,0
76,0,4C,0
77,0,4D,0
78,0,4E,0
79,0,4F,0
80,0,50,NGIF_settings_1
81,0,51,NGIF_settings_2
82,0,52,NGIF_settings_3
83,0,53,0
84,0,54,0
85,0,55,0
86,0,56,0
87,0,57,0
88,0,58,0
89,0,59,0
90,0,5A,0
91,0,5B,0
92,0,5C,0
93,0,5D,0
94,0,5E,0
95,0,5F,0
96,0,60,0
97,0,61,0
98,0,62,0
99,0,63,0
100,0,64,0
101,0,65,0
102,0,66,0
103,0,67,0
104,0,68,0
105,0,69,0
106,0,6A,0
107,0,6B,0
108,0,6C,0
109,0,6D,0
110,0,6E,0
111,0,6F,0
112,0,70,SDM_Register_1
113,0,71,SDM_Register_2
114,0,72,SDM_Register_3
115,0,73,0
116,0,74,0
117,0,75,DWA_Register_1
118,0,76,DWA_Register_2
119,0,77,DWA_Register_3
120,0,78,DWA_Register_4
121,0,79,DWA_Register_5
122,0,7A,DYC_Register_1
123,0,7B,DYC_Register_2
124,0,7C,DYC_Register_3
125,0,7D,0
126,0,7E,0
127,0,7F,MOD_Spare_Register
128,0,80,REF_Register_1
129,0,81,REF_Register_2
130,0,82,0
131,0,83,ANA_gain_Register
132,0,84,Protection_reg_1
133,0,85,Protection_reg_2
134,0,86,Protection_reg_3
135,0,87,Protection_reg_4
136,0,88,Protection_reg_5
137,0,89,0
138,0,8A,0
139,0,8B,0
140,0,8C,0
141,0,8D,0
142,0,8E,0
143,0,8F,SEQ_Spare_Register
144,0,90,0
145,0,91,0
146,0,92,0
147,0,93,0
148,0,94,0
149,0,95,0
150,0,96,0
151,0,97,0
152,0,98,0
153,0,99,0
154,0,9A,0
155,0,9B,0
156,0,9C,0
157,0,9D,0
158,0,9E,0
159,0,9F,0
160,0,A0,0
161,0,A1,0
162,0,A2,0
163,0,A3,0
164,0,A4,0
165,0,A5,0
166,0,A6,0
167,0,A7,0
168,0,A8,0
169,0,A9,0
170,0,AA,0
171,0,AB,0
172,0,AC,0
173,0,AD,0
174,0,AE,0
175,0,AF,0
176,0,ANALOG BOOST SETTINGS,0
177,0,AUTOMATIC SEQUENCES,0
178,0,B0,BST_Comp_Register_1
179,0,B1,BST_Comp_Register_2
180,0,B2,BST_Comp_Register_3
181,0,B3,BST_Comp_Register_4
182,0,B4,BST_Comp_Register_5
183,0,B5,0
184,0,B6,0
185,0,B7,0
186,0,B8,0
187,0,B9,0
188,0,BA,0
189,0,BB,0
190,0,BC,0
191,0,BD,0
192,0,BE,0
193,0,BF,0
194,0,C0,BST_Register_1
195,0,C1,BST_Register_2
196,0,C2,BST_Register_3
197,0,C3,BST_Register_4
198,0,C4,BST_Register_5
199,0,C5,BST_Register_6
200,0,C6,BST_Register_7
201,0,C7,BST_Register_8
202,0,C8,BST_Register_9
203,0,C9,BST_Register_10
204,0,CA,BST_Register_11
205,0,CALIBRATION SETTINGS,0
206,0,CB,BST_Register_12
207,0,CC,BST_Register_13
208,0,CD,BST_Register_14
209,0,CE,BST_Register_15
210,0,CF,BST_Register_16
211,0,D0,0
212,0,D1,0
213,0,D2,0
214,0,D3,0
215,0,D4,0
216,0,D5,0
217,0,D6,0
218,0,D7,0
219,0,D8,0
220,0,D9,0
221,0,DA,0
222,0,DAC SETTINGS,0
223,0,DB,0
224,0,DC,0
225,0,DD,0
226,0,DE,0
227,0,DF,ET_Spare_Register
228,0,DIGITAL BOOST SETTINGS,0
229,0,E0,CAL_Register_1
230,0,E1,CAL_Register_2
231,0,E2,CAL_Register_3
232,0,E3,CAL_Register_4
233,0,E4,CAL_Register_5
234,0,E5,CAL_Register_6
235,0,E6,0
236,0,E7,0
237,0,E8,0
238,0,E9,0
239,0,EA,0
240,0,EB,0
241,0,EC,0
242,0,ED,0
243,0,EE,0
244,0,EF,CAL_Spare_Register
245,0,ENABLES,0
246,0,F0,0
247,0,F1,0
248,0,F2,0
249,0,F3,0
250,0,F4,0
251,0,F5,0
252,0,F6,0
253,0,F7,0
254,0,F8,0
255,0,F9,0
256,0,FA,0
257,0,FB,0
258,0,FC,PAD_settings
259,0,FD,0
260,0,FE,Page_selection
261,0,FF,Device_Info
262,0,MISC INTERFACE SETTINGS,0
263,0,PA AND REF SETTINGS,0
264,0,PAD CONTROL,0
265,0,STATUS,0
266,0,TDM INTERFACE SETTINGS,0
267,0,,0
268,1,00,IO_Test_settings_1
269,1,01,IO_Test_settings_2
270,1,02,IO_Test_settings_3
271,1,03,Digital_Test_settings_1
272,1,04,Digital_Test_settings_2
273,1,05,SCAN_Test
274,1,06,BIST_reg
275,1,07,Digital_Test_settings_3
276,1,08,DAC_test_1
277,1,09,DAC_test_2
278,1,0A,DAC_test_3
279,1,0B,0
280,1,0C,SEQ_settings
281,1,0D,DAC_clock_setting
282,1,0E,FRO_clock_mux_setting
283,1,0F,Analog_register_0_-_Force
284,1,10,Analog_register_1_-_Force
285,1,11,Analog_register_2_-_Force
286,1,12,0
287,1,13,Analog_register_4_-_Force
288,1,14,Analog_register_5_-_Force
289,1,15,Analog_register_6_-_Force
290,1,16,Analog_register_7_-_Force
291,1,17,Analog_register_8_-_Force
292,1,18,Analog_register_9_-_Force
293,1,19,Analog_test_1
294,1,1A,Analog_test_2
295,1,1B,0
296,1,1C,0
297,1,1D,0
298,1,1E,Internal_sin_register_1
299,1,1F,Internal_sin_register_2
300,1,20,Debug_resgister_1
301,1,21,Debug_resgister_2
302,1,22,Debug_resgister_3
303,1,23,Debug_resgister_4
304,1,24,Debug_resgister_5
305,1,25,0
306,1,26,0
307,1,27,0
308,1,28,0
309,1,29,0
310,1,2A,0
311,1,2B,0
312,1,2C,0
313,1,2D,0
314,1,2E,0
315,1,2F,UNCLOCK_REGISTER
316,1,30,IFIR_CONFIG_1
317,1,31,IFIR_CONFIG_2
318,1,32,IFIR_COEFF_0_MSB
319,1,33,IFIR_COEFF_0_LSB
320,1,34,IFIR_COEFF_1_MSB
321,1,35,IFIR_COEFF_1_LSB
322,1,36,IFIR_COEFF_2_MSB
323,1,37,IFIR_COEFF_2_LSB
324,1,38,IFIR_COEFF_3_MSB
325,1,39,IFIR_COEFF_3_LSB
326,1,3A,IFIR_COEFF_4_MSB
327,1,3B,IFIR_COEFF_4_LSB
328,1,3C,IFIR_COEFF_5_MSB
329,1,3D,IFIR_COEFF_5_LSB
330,1,3E,IFIR_COEFF_6_MSB
331,1,3F,IFIR_COEFF_6_LSB
332,1,40,IFIR_COEFF_7_MSB
333,1,41,IFIR_COEFF_7_LSB
334,1,42,IFIR_COEFF_8_MSB
335,1,43,IFIR_COEFF_8_LSB
336,1,44,IFIR_COEFF_9_MSB
337,1,45,IFIR_COEFF_9_LSB
338,1,46,IFIR_COEFF_10_MSB
339,1,47,IFIR_COEFF_10_LSB
340,1,48,IFIR_COEFF_11_MSB
341,1,49,IFIR_COEFF_11_LSB
342,1,4A,IFIR_COEFF_12_MSB
343,1,4B,IFIR_COEFF_12_LSB
344,1,4C,IFIR_COEFF_13_MSB
345,1,4D,IFIR_COEFF_13_LSB
346,1,4E,IFIR_COEFF_14_MSB
347,1,4F,IFIR_COEFF_14_LSB
348,1,50,IFIR_COEFF_15_MSB
349,1,51,IFIR_COEFF_15_LSB
350,1,52,IFIR_COEFF_16_MSB
351,1,53,IFIR_COEFF_16_LSB
352,1,54,IFIR_COEFF_17_MSB
353,1,55,IFIR_COEFF_17_LSB
354,1,56,IFIR_COEFF_18_MSB
355,1,57,IFIR_COEFF_18_LSB
356,1,58,IFIR_COEFF_19_MSB
357,1,59,IFIR_COEFF_19_LSB
358,1,5A,IFIR_COEFF_20_MSB
359,1,5B,IFIR_COEFF_20_LSB
360,1,5C,IFIR_COEFF_21_MSB
361,1,5D,IFIR_COEFF_21_LSB
362,1,5E,IFIR_COEFF_22_MSB
363,1,5F,IFIR_COEFF_22_LSB
364,1,60,IFIR_COEFF_23_MSB
365,1,61,IFIR_COEFF_23_LSB
366,1,62,IFIR_COEFF_24_MSB
367,1,63,IFIR_COEFF_24_LSB
368,1,64,IFIR_COEFF_25_MSB
369,1,65,IFIR_COEFF_25_LSB
370,1,66,IFIR_COEFF_26_MSB
371,1,67,IFIR_COEFF_26_LSB
372,1,68,IFIR_COEFF_27_MSB
373,1,69,IFIR_COEFF_27_LSB
374,1,6A,IFIR_COEFF_28_MSB
375,1,6B,IFIR_COEFF_28_LSB
376,1,6C,IFIR_COEFF_29_MSB
377,1,6D,IFIR_COEFF_29_LSB
378,1,6E,IFIR_COEFF_30_MSB
379,1,6F,IFIR_COEFF_30_LSB
380,1,70,IFIR_COEFF_31_MSB
381,1,71,IFIR_COEFF_31_LSB
382,1,72,IFIR_COEFF_32_MSB
383,1,73,IFIR_COEFF_32_LSB
384,1,74,IFIR_COEFF_33_MSB
385,1,75,IFIR_COEFF_33_LSB
386,1,76,IFIR_COEFF_34_MSB
387,1,77,IFIR_COEFF_34_LSB
388,1,78,IFIR_COEFF_35_MSB
389,1,79,IFIR_COEFF_35_LSB
390,1,7A,IFIR_COEFF_36_MSB
391,1,7B,IFIR_COEFF_36_LSB
392,1,7C,IFIR_COEFF_37_MSB
393,1,7D,IFIR_COEFF_37_LSB
394,1,7E,IFIR_COEFF_38_MSB
395,1,7F,IFIR_COEFF_38_LSB
396,1,80,IFIR_COEFF_39_MSB
397,1,81,IFIR_COEFF_39_LSB
398,1,82,0
399,1,83,0
400,1,84,0
401,1,85,0
402,1,86,0
403,1,87,0
404,1,88,0
405,1,89,0
406,1,8A,0
407,1,8B,0
408,1,8C,0
409,1,8D,0
410,1,8E,0
411,1,8F,IFIR_Spare_Register
412,1,90,0
413,1,91,0
414,1,92,0
415,1,93,0
416,1,94,0
417,1,95,0
418,1,96,0
419,1,97,0
420,1,98,0
421,1,99,0
422,1,9A,0
423,1,9B,0
424,1,9C,0
425,1,9D,0
426,1,9E,0
427,1,9F,0
428,1,A0,0
429,1,A1,0
430,1,A2,0
431,1,A3,0
432,1,A4,0
433,1,A5,0
434,1,A6,0
435,1,A7,0
436,1,A8,0
437,1,A9,0
438,1,AA,0
439,1,AB,0
440,1,AC,0
441,1,AD,0
442,1,AE,OTP_control_reg_1
443,1,AF,OTP_control_reg_2
444,1,B0,OTP_FIELDS_0
445,1,B1,OTP_FIELDS_1
446,1,B2,OTP_FIELDS_2
447,1,B3,OTP_FIELDS_3
448,1,B4,OTP_FIELDS_4
449,1,B5,OTP_FIELDS_5
450,1,B6,OTP_FIELDS_6
451,1,B7,OTP_FIELDS_7
452,1,B8,OTP_FIELDS_8
453,1,B9,OTP_FIELDS_9
454,1,BA,OTP_FIELDS_10
455,1,BB,OTP_FIELDS_11
456,1,BC,OTP_FIELDS_12
457,1,BD,OTP_FIELDS_13
458,1,BE,OTP_FIELDS_14
459,1,BF,OTP_FIELDS_15
460,1,C0,OTP_FIELDS_16
461,1,C1,OTP_FIELDS_17
462,1,C2,OTP_FIELDS_18
463,1,C3,OTP_FIELDS_19
464,1,C4,OTP_FIELDS_20
465,1,C5,OTP_FIELDS_21
466,1,C6,OTP_FIELDS_22
467,1,C7,OTP_FIELDS_23
468,1,C8,OTP_FIELDS_24
469,1,C9,OTP_FIELDS_25
470,1,CA,OTP_FIELDS_26
471,1,CB,OTP_FIELDS_27
472,1,CC,OTP_FIELDS_28
473,1,CD,OTP_FIELDS_29
474,1,CE,OTP_FIELDS_30
475,1,CF,OTP_FIELDS_31
476,1,D0,OTP_FIELDS_32
477,1,D1,OTP_FIELDS_33
478,1,D2,OTP_FIELDS_34
479,1,D3,OTP_FIELDS_35
480,1,D4,OTP_FIELDS_36
481,1,D5,OTP_FIELDS_37
482,1,D6,OTP_FIELDS_38
483,1,D7,OTP_FIELDS_39
484,1,D8,OTP_FIELDS_40
485,1,D9,OTP_FIELDS_41
486,1,DA,OTP_FIELDS_42
487,1,DB,OTP_FIELDS_43
488,1,DC,OTP_FIELDS_44
489,1,DD,OTP_FIELDS_45
490,1,DE,OTP_FIELDS_46
491,1,DF,OTP_FIELDS_47
492,1,E0,OTP_FIELDS_48
493,1,E1,OTP_FIELDS_49
494,1,E2,OTP_FIELDS_50
495,1,E3,OTP_FIELDS_51
496,1,E4,OTP_FIELDS_52
497,1,E5,OTP_FIELDS_53
498,1,E6,OTP_FIELDS_54
499,1,E7,OTP_FIELDS_55
500,1,E8,OTP_FIELDS_56
501,1,E9,OTP_FIELDS_57
502,1,EA,OTP_FIELDS_58
503,1,EB,OTP_FIELDS_59
504,1,EC,OTP_FIELDS_60
505,1,ED,OTP_FIELDS_61
506,1,EE,OTP_FIELDS_62
507,1,EF,OTP_FIELDS_63
508,1,F0,0
509,1,F1,0
510,1,F2,0
511,1,F3,0
512,1,F4,0
513,1,F5,0
514,1,F6,0
515,1,F7,0
516,1,F8,0
517,1,F9,0
518,1,FA,0
519,1,FB,0
520,1,FC,0
521,1,FD,0
522,1,FE,Page_selection
523,1,FF,Device_Info
524,1,OTP SECTION,0
525,1,STATUS,0
526,1,,0
